TICKER,YYYY_MM_DD,OPEN,HIGH,LOW,CLOSE,VOL
PETR4.SA,20150102,9.99,9.99,9.36,9.36,48837200
PETR4.SA,20150106,8.71,8.83,8.04,8.33,84023400
PETR4.SA,20150107,8.56,8.73,8.36,8.67,85531000
PETR4.SA,20150108,8.79,9.39,8.74,9.18,82735700
PETR4.SA,20150112,9.27,9.58,8.79,8.91,57881600
PETR4.SA,20150113,8.9,9.39,8.85,9,64019500
PETR4.SA,20150114,8.88,8.96,8.64,8.74,55155200
PETR4.SA,20150115,9,9.39,8.87,9.34,80771000
PETR4.SA,20150119,9.35,9.54,9.15,9.19,30745600
PETR4.SA,20150127,9.72,10.37,9.53,10.17,58600900
PETR4.SA,20150130,8.2,8.34,8.08,8.18,86357400
PETR4.SA,20150202,8.46,8.68,8.13,8.66,56348600
PETR4.SA,20150204,10.3,10.78,9.56,10.02,117595000
PETR4.SA,20150205,9.86,10.29,9.7,9.8,77584400
PETR4.SA,20150206,9.8,9.81,8.87,9.12,117747100
PETR4.SA,20150209,8.8,9.47,8.72,9.28,71514400
PETR4.SA,20150213,9.68,10.1,9.66,9.99,71330100
PETR4.SA,20150218,10.16,10.34,10.04,10.12,42573800
PETR4.SA,20150219,9.96,9.97,9.65,9.75,38125300
PETR4.SA,20150220,9.82,9.9,9.53,9.67,34889900
PETR4.SA,20150223,9.55,9.59,9.39,9.49,40638000
PETR4.SA,20150224,9.65,9.89,9.59,9.86,47705600
PETR4.SA,20150302,9.44,9.71,9.27,9.4,37562300
PETR4.SA,20150303,9.69,9.8,9.52,9.6,41841000
PETR4.SA,20150304,9.41,9.45,9.21,9.21,47594500
PETR4.SA,20150305,9.31,9.38,9.16,9.28,26322900
PETR4.SA,20150306,9.2,9.35,9.17,9.24,26993200
PETR4.SA,20150309,9.13,9.18,8.9,8.91,35764600
PETR4.SA,20150310,8.83,8.98,8.51,8.55,71232500
PETR4.SA,20150313,8.25,8.39,8.16,8.3,71861500
PETR4.SA,20150316,8.49,8.5,8.19,8.46,53078600
PETR4.SA,20150317,8.35,8.93,8.32,8.89,62937200
PETR4.SA,20150318,8.85,9.29,8.67,9.27,64677400
PETR4.SA,20150319,9.18,9.23,8.85,8.9,42956000
PETR4.SA,20150324,9.37,9.45,9.22,9.39,35737300
PETR4.SA,20150325,9.65,9.89,9.53,9.84,82912600
PETR4.SA,20150326,9.92,9.96,9.32,9.35,58997600
PETR4.SA,20150327,9.3,9.61,9.17,9.38,50526700
PETR4.SA,20150330,9.5,9.75,9.42,9.72,32965300
PETR4.SA,20150331,9.58,9.92,9.47,9.73,46076500
PETR4.SA,20150401,9.93,10.37,9.87,10.21,58328200
PETR4.SA,20150402,10.17,10.72,10.17,10.72,68012000
PETR4.SA,20150406,10.8,10.99,10.69,10.69,44874900
PETR4.SA,20150407,10.6,10.96,10.46,10.89,60326400
PETR4.SA,20150417,12.61,13.24,12.52,13.01,70065200
PETR4.SA,20150420,13.23,13.38,13.02,13.09,51885900
